Total,State,Year
2426553,Kentucky,1946
596606,Kentucky,1946
75808,Kentucky,1946
187005,Kentucky,1946
382193,Kentucky,1946
42300,Kentucky,1946
31734,Kentucky,1946
6208251,Kentucky,1946
58424,Kentucky,1946
11312171,Kentucky,1946
117766,Kentucky,1946
826505,Kentucky,1946
993131,Kentucky,1946
520720,Kentucky,1946
418227,Kentucky,1946
13854,Kentucky,1946
63121,Kentucky,1946
357823,Kentucky,1946
7547743,Kentucky,1946
80398,Kentucky,1946
396326,Kentucky,1946
765626,Kentucky,1946
25725,Kentucky,1946
31649,Kentucky,1946
6243877,Kentucky,1946
9100840,Kentucky,1946
117000,Kentucky,1946
67431,Kentucky,1946
24790,Kentucky,1946
308257,Kentucky,1946
52908,Kentucky,1946
5980,Kentucky,1946
274866,Kentucky,1946
16770,Kentucky,1946
68186,Kentucky,1946
299027,Kentucky,1946
9893466,Kentucky,1946
45850,Kentucky,1946
4706951,Kentucky,1946
737530,Kentucky,1946
624830,Kentucky,1946
480859,Kentucky,1946
,Kentucky,1946
,Kentucky,1946
,Kentucky,1946
1200517,Tennessee,1946
53342,Tennessee,1946
1399669,Tennessee,1946
1256369,Tennessee,1946
367,Tennessee,1946
233057,Tennessee,1946
367703,Tennessee,1946
34576,Tennessee,1946
338848,Tennessee,1946
128512,Tennessee,1946
61321,Tennessee,1946
133000,Tennessee,1946
13439,Tennessee,1946
311441,Tennessee,1946
80304,Tennessee,1946
3575,Tennessee,1946
,Tennessee,1946
,Tennessee,1946
4472647,Virginia,1946
1333648,Virginia,1946
599001,Virginia,1946
180366,Virginia,1946
1186603,Virginia,1946
44446,Virginia,1946
3884197,Virginia,1946
3825987,Virginia,1946
2849527,West Virginia,1946
5139342,West Virginia,1946
73996,West Virginia,1946
1965352,West Virginia,1946
1142672,West Virginia,1946
12444766,West Virginia,1946
69935,West Virginia,1946
137367,West Virginia,1946
2421268,West Virginia,1946
82549,West Virginia,1946
11019788,West Virginia,1946
8167437,West Virginia,1946
23051,West Virginia,1946
20027295,West Virginia,1946
7909521,West Virginia,1946
854062,West Virginia,1946
199831,West Virginia,1946
21709020,West Virginia,1946
2551760,West Virginia,1946
467988,West Virginia,1946
4765926,West Virginia,1946
9084781,West Virginia,1946
1753627,West Virginia,1946
1458417,West Virginia,1946
2706125,West Virginia,1946
12300,West Virginia,1946
12945654,West Virginia,1946
1913914,West Virginia,1946
1098288,West Virginia,1946
1114693,West Virginia,1946
444954,West Virginia,1946
405624,West Virginia,1946
1805026,West Virginia,1946
5253296,West Virginia,1946
,West Virginia,1946
,West Virginia,1946
,West Virginia,1946
3376041,Kentucky,1947
782417,Kentucky,1947
251391,Kentucky,1947
582628,Kentucky,1947
484845,Kentucky,1947
2300,Kentucky,1947
47804,Kentucky,1947
7886625,Kentucky,1947
110192,Kentucky,1947
12054128,Kentucky,1947
129089,Kentucky,1947
1527744,Kentucky,1947
1340871,Kentucky,1947
890355,Kentucky,1947
821187,Kentucky,1947
90819,Kentucky,1947
68849,Kentucky,1947
762416,Kentucky,1947
8109742,Kentucky,1947
6452,Kentucky,1947
690987,Kentucky,1947
450888,Kentucky,1947
1149742,Kentucky,1947
30753,Kentucky,1947
7667,Kentucky,1947
123367,Kentucky,1947
6624873,Kentucky,1947
12439969,Kentucky,1947
307905,Kentucky,1947
204902,Kentucky,1947
2200,Kentucky,1947
663262,Kentucky,1947
35810,Kentucky,1947
264304,Kentucky,1947
13900,Kentucky,1947
458780,Kentucky,1947
15800,Kentucky,1947
210683,Kentucky,1947
253450,Kentucky,1947
11698330,Kentucky,1947
152093,Kentucky,1947
6735652,Kentucky,1947
1163867,Kentucky,1947
657026,Kentucky,1947
558497,Kentucky,1947
1460011,Tennessee,1947
39211,Tennessee,1947
1518994,Tennessee,1947
1027232,Tennessee,1947
277177,Tennessee,1947
461777,Tennessee,1947
195197,Tennessee,1947
379710,Tennessee,1947
226065,Tennessee,1947
30098,Tennessee,1947
10000,Tennessee,1947
338436,Tennessee,1947
36748,Tennessee,1947
1000,Tennessee,1947
9565,Tennessee,1947
247262,Tennessee,1947
,Tennessee,1947
5397676,Virginia,1947
2578082,Virginia,1947
770204,Virginia,1947
159304,Virginia,1947
2001906,Virginia,1947
86050,Virginia,1947
4380720,Virginia,1947
4796857,Virginia,1947
,Virginia,1947
,Virginia,1947
4238851,West Virginia,1947
6393631,West Virginia,1947
58992,West Virginia,1947
2319973,West Virginia,1947
947827,West Virginia,1947
15404026,West Virginia,1947
72069,West Virginia,1947
69868,West Virginia,1947
3288261,West Virginia,1947
118417,West Virginia,1947
15098593,West Virginia,1947
10303818,West Virginia,1947
248371,West Virginia,1947
21168,West Virginia,1947
24028299,West Virginia,1947
9206119,West Virginia,1947
872859,West Virginia,1947
203037,West Virginia,1947
24457606,West Virginia,1947
3046619,West Virginia,1947
176004,West Virginia,1947
6845659,West Virginia,1947
12395810,West Virginia,1947
2536987,West Virginia,1947
1683769,West Virginia,1947
13953,West Virginia,1947
3190410,West Virginia,1947
38372,West Virginia,1947
15184656,West Virginia,1947
1994448,West Virginia,1947
1279642,West Virginia,1947
1066112,West Virginia,1947
762236,West Virginia,1947
388123,West Virginia,1947
1818003,West Virginia,1947
6383991,West Virginia,1947
3005573,Kentucky,1948
430673,Kentucky,1948
158946,Kentucky,1948
117415,Kentucky,1948
437098,Kentucky,1948
11430,Kentucky,1948
813375,Kentucky,1948
4096,Kentucky,1948
3973,Kentucky,1948
634312,Kentucky,1948
11120,Kentucky,1948
61144,Kentucky,1948
6698365,Kentucky,1948
9211,Kentucky,1948
87812,Kentucky,1948
229847,Kentucky,1948
11709796,Kentucky,1948
253337,Kentucky,1948
12692475,Kentucky,1948
122685,Kentucky,1948
956170,Kentucky,1948
1174548,Kentucky,1948
1008221,Kentucky,1948
241737,Kentucky,1948
111811,Kentucky,1948
96777,Kentucky,1948
1072688,Kentucky,1948
10385283,Kentucky,1948
165462,Kentucky,1948
429646,Kentucky,1948
817998,Kentucky,1948
125857,Kentucky,1948
36283,Kentucky,1948
383545,Kentucky,1948
5276359,Kentucky,1948
1760832,Kentucky,1948
6684989,Kentucky,1948
11955100,Kentucky,1948
91738,Kentucky,1948
68504,Kentucky,1948
623433,Kentucky,1948
4458,Kentucky,1948
647196,Kentucky,1948
457027,Kentucky,1948
15594,Kentucky,1948
1437957,Tennessee,1948
5100,Tennessee,1948
1735528,Tennessee,1948
1202360,Tennessee,1948
7217,Tennessee,1948
232854,Tennessee,1948
447841,Tennessee,1948
49260,Tennessee,1948
630517,Tennessee,1948
255610,Tennessee,1948
44523,Tennessee,1948
6917,Tennessee,1948
228678,Tennessee,1948
122955,Tennessee,1948
65028,Tennessee,1948
10684,Tennessee,1948
4914452,Virginia,1948
2296657,Virginia,1948
950283,Virginia,1948
175831,Virginia,1948
1499155,Virginia,1948
5471,Virginia,1948
3943220,Virginia,1948
4214336,Virginia,1948
3877869,West Virginia,1948
6066475,West Virginia,1948
129450,West Virginia,1948
,West Virginia,1948
2294385,West Virginia,1948
913609,West Virginia,1948
14634630,West Virginia,1948
29093,West Virginia,1948
88430,West Virginia,1948
3103471,West Virginia,1948
126589,West Virginia,1948
11393670,West Virginia,1948
10167469,West Virginia,1948
187008,West Virginia,1948
43190,West Virginia,1948
22861859,West Virginia,1948
9888239,West Virginia,1948
697376,West Virginia,1948
194655,West Virginia,1948
24264954,West Virginia,1948
3480170,West Virginia,1948
200053,West Virginia,1948
6810170,West Virginia,1948
11573643,West Virginia,1948
3626725,West Virginia,1948
1622501,West Virginia,1948
19810,West Virginia,1948
2905942,West Virginia,1948
56483,West Virginia,1948
14447862,West Virginia,1948
1800970,West Virginia,1948
1084739,West Virginia,1948
768789,West Virginia,1948
861271,West Virginia,1948
313128,West Virginia,1948
1742863,West Virginia,1948
6584206,West Virginia,1948
1614594,Kentucky,1949
519589,Kentucky,1949
753783,Kentucky,1949
,Kentucky,1949
352126,Kentucky,1949
63465,Kentucky,1949
27938,Kentucky,1949
126036,Kentucky,1949
5038015,Kentucky,1949
152796,Kentucky,1949
8095721,Kentucky,1949
733428,Kentucky,1949
707589,Kentucky,1949
549148,Kentucky,1949
16500,Kentucky,1949
32251,Kentucky,1949
62791,Kentucky,1949
123211,Kentucky,1949
196397,Kentucky,1949
10828561,Kentucky,1949
61852,Kentucky,1949
221580,Kentucky,1949
140690,Kentucky,1949
1247318,Kentucky,1949
7750,Kentucky,1949
4968247,Kentucky,1949
8172715,Kentucky,1949
170288,Kentucky,1949
682660,Kentucky,1949
30172,Kentucky,1949
95588,Kentucky,1949
2561126,Kentucky,1949
6577137,Kentucky,1949
20600,Kentucky,1949
509224,Kentucky,1949
51527,Kentucky,1949
134572,Kentucky,1949
3597482,Kentucky,1949
243742,Kentucky,1949
1477410,Kentucky,1949
148373,Kentucky,1949
309451,Kentucky,1949
260502,Kentucky,1949
642643,Kentucky,1949
256676,Kentucky,1949
866211,Tennessee,1949
5400,Tennessee,1949
1083852,Tennessee,1949
766995,Tennessee,1949
15899,Tennessee,1949
146766,Tennessee,1949
203893,Tennessee,1949
50931,Tennessee,1949
317489,Tennessee,1949
276110,Tennessee,1949
24387,Tennessee,1949
107823,Tennessee,1949
9981,Tennessee,1949
186925,Tennessee,1949
